ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONS_SERVICES,CONS_CONS_TAXES,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_CONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR,CONS_OTHER
416671202,0,0,0,0,1595.428375,557.7886562,0,1115.577312,0,0,0,513.4712013,0,275.0738578,1115.577312,1004.019581,366.7651438,0,0,2900.501012,2342.712356,0,0,1115.577312,1784.9237,0,15104.91681,0,0,0,0,0,2342.712356,0,1,0,25,23,3866.5,2017,32135.04499
416671203,0,1115.577312,0,0,2393.142563,446.2309249,0,0,1115.577312,0,0,1008.604145,0,458.4564297,892.4618499,825.5272111,366.7651438,0,0,0,8924.618499,0,446.2309249,490.8540174,1784.9237,0,13386.92775,0,0,0,0,0,1004.019581,0,1,0,25,23,3866.5,2017,34659.91736
416671204,0,557.7886562,0,0,1705.457919,0,0,1115.577312,0,0,0,458.4564297,0,220.0590863,1338.692775,1048.642674,366.7651438,0,0,0,2231.154625,0,0,1115.577312,2008.039162,0,15640.39392,0,0,0,0,0,2231.154625,0,1,0,25,23,3866.5,2017,30037.75964
416671301,916.9128595,1115.577312,18161.59864,0,11314.70469,5131.655637,0,3346.731937,0,1648.609321,5466.32883,5134.712013,3346.731937,1375.369289,1561.808237,14614.06279,0,0,0,3346.731937,5020.097906,0,0,1628.742876,2231.154625,0,2141.90844,11847.43106,0,4618.490073,3681.405131,0,4328.439972,2788.943281,5,0,25,23,5184.63,2017,96606.55015
416671302,0,0,0,0,1191.986717,0,0,669.3463874,0,1026.942403,0,458.4564297,0,183.3825719,2677.38555,1026.331127,366.7651438,0,0,0,1673.365969,0,0,669.3463874,1784.9237,0,16175.87103,0,0,0,0,0,2119.596893,0,1,0,25,23,5184.63,2017,30023.70031
416681201,330.0886294,1338.692775,16064.3133,0,14395.53189,6916.579337,0,1338.692775,0,3429.254094,6247.232949,5318.094585,0,4034.416582,1561.808237,11825.11951,1833.825719,0,0,3346.731937,8924.618499,0,0,2231.154625,2231.154625,0,0,2454.270087,0,3792.962862,2900.501012,6693.463874,3346.731937,3569.8474,5,0,34,23,89.5,2017,98060.77394
416681202,412.6107868,1561.808237,1561.808237,0,1522.075347,1004.019581,0,0,0,4731.270355,3123.616475,0,0,788.5450591,0,15551.14773,916.9128595,0,0,12048.23497,3346.731937,0,0,20972.85347,0,3346.731937,0,780.9041186,0,2141.90844,2320.40081,4127.636056,2365.023902,4863.917082,2,0,34,23,89.5,2017,85926.34916
416681203,0,4685.424712,11155.77312,0,2659.047292,3346.731937,0,0,0,1833.825719,6247.232949,0,0,1742.134433,0,9036.17623,733.5302876,0,0,12940.69682,6693.463874,0,6693.463874,557.7886562,0,2677.38555,0,2342.712356,0,3569.8474,2208.843078,0,2498.89318,4551.555434,4,0,34,23,89.5,2017,75018.75378
416681204,0,1561.808237,2008.039162,0,1063.618917,1561.808237,0,669.3463874,0,1833.825719,1561.808237,0,0,366.7651438,0,7920.598918,550.1477157,0,0,4127.636056,3123.616475,0,0,892.4618499,0,0,0,780.9041186,0,736.2810261,2074.973801,6693.463874,892.4618499,1093.265766,1,0,34,23,89.5,2017,37504.79233
416681205,0,870.1503036,1338.692775,0,1228.663232,892.4618499,0,2454.270087,0,0,1182.511951,0,0,513.4712013,0,6091.052125,733.5302876,0,0,5577.886562,3346.731937,0,0,446.2309249,0,0,0,1561.808237,0,981.7080349,2454.270087,0,1829.546792,3569.8474,2,0,34,23,89.5,2017,33734.14101
416681301,0,10709.5422,26773.8555,0,1650.443147,1606.43133,0,3569.8474,0,0,6247.232949,2017.208291,0,944.4202452,2565.827818,14390.94733,733.5302876,0,0,1896.481431,13386.92775,0,6693.463874,669.3463874,0,535.4771099,9147.733961,245.4270087,0,4796.982443,1338.692775,1004.019581,3458.289668,1070.95422,9,0,34,23,89.5,2017,88679.2272
416681302,0,892.4618499,12048.23497,0,2549.017749,2008.039162,0,3346.731937,0,0,2342.712356,275.0738578,0,880.2363451,0,10151.75354,733.5302876,0,0,4239.193787,3346.731937,0,0,892.4618499,1227.135044,0,10486.42674,3056.681836,0,2208.843078,4060.701417,0,2922.812558,6224.921403,8,0,34,23,89.5,2017,61845.46673
416691101,0,1227.135044,14971.04753,0,5079.697241,3346.731937,0,10040.19581,2454.270087,0,5064.720998,31981.92054,0,330.0886294,5577.886562,21062.09966,0,0,0,7809.041186,11378.88859,0,0,2922.812558,2231.154625,0,3346.731937,3837.585954,13386.92775,2275.777717,1717.989061,0,3012.058743,4016.078324,3,0,32,23,271.88,2017,142099.7929
416691102,0,1561.808237,17804.61391,892.4618499,19988.70034,78737.44671,0,66934.63874,3034.37029,731.6964618,8210.649019,157965.7474,3346.731937,2319.789534,9036.17623,34627.51978,0,0,0,4506.932342,38018.8748,0,0,6916.579337,9192.357054,0,53547.71099,7831.352733,17849.237,4551.555434,2498.89318,401.6078324,13074.5661,7005.825522,3,0,32,23,271.88,2017,552783.2289
416691103,825.2215735,1561.808237,14837.17825,669.3463874,8325.568764,9928.63808,0,14502.50506,2342.712356,18338.25719,6068.740579,35539.54243,0,2659.047292,5577.886562,21062.09966,0,0,0,5577.886562,20258.88399,2231.154625,0,5243.213368,6805.021605,0,2231.154625,5689.444293,13386.92775,4997.786359,4306.128426,0,5756.378932,10352.55746,3,0,32,23,271.88,2017,214237.9122
416691104,2842.429864,1784.9237,9593.964886,669.3463874,5813.227529,42592.74179,1115.577312,36256.26265,2788.943281,2108.899577,10107.13045,121289.233,7809.041186,4951.329441,3792.962862,19634.1607,0,0,0,13386.92775,25881.39365,2231.154625,0,4573.866981,3346.731937,0,6693.463874,5087.032544,14502.50506,2365.023902,2141.90844,290.0501012,11490.44632,5064.720998,2,0,32,23,271.88,2017,360611.4359
416691201,0,780.9041186,13431.55084,780.9041186,779.3759305,2231.154625,0,4462.309249,2565.827818,0,4350.751518,21180.68705,0,0,2454.270087,7541.302631,0,0,0,3346.731937,5689.444293,0,0,1784.9237,669.3463874,0,1115.577312,2677.38555,11155.77312,2231.154625,1450.250506,490.8540174,2722.008642,3190.551113,3,0,32,23,435,2017,83651.48836
416691202,0,1204.823497,20526.62255,2677.38555,14443.21136,46854.24712,0,93708.49424,5689.444293,105444.9788,13386.92775,21327.39311,11155.77312,1375.369289,10932.65766,25078.17798,0,0,0,2231.154625,46854.24712,0,0,4908.540174,0,0,0,10040.19581,17849.237,2320.40081,2431.958541,0,9928.63808,8879.995406,5,0,32,23,435,2017,458723.2514
416691203,2053.884805,1004.019581,28112.54827,0,22189.2912,22311.54625,0,2231.154625,5020.097906,11002.95431,4350.751518,24573.26463,14502.50506,2659.047292,15841.19784,23382.50047,0,0,0,0,5689.444293,0,0,6693.463874,5801.002024,0,2677.38555,9170.045507,14502.50506,1561.808237,4350.751518,1784.9237,8924.618499,7742.106548,3,0,32,23,435,2017,220020.2703
416691204,0,2298.089263,13944.7164,669.3463874,6510.081302,3346.731937,0,8924.618499,3123.616475,100860.4145,4551.555434,34109.15837,0,2659.047292,5577.886562,22333.85779,0,0,0,6693.463874,48416.05536,0,6470.348412,4685.424712,7697.483455,0,18964.81431,7585.925724,13386.92775,2320.40081,2699.697096,0,4908.540174,5243.213368,6,0,32,23,435,2017,324036.6989
