YEAR,CPI,GROSS_INCOME,CIT_Income
2017,1.014,1,1
2018,1.015,1.057,1
2019,1.008,1.051,1
2020,1,0.998,1
2021,1.02,1,1
2022,1.02,1.05,1
2023,1.02,1.05,1
