ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_C_SERVICES,CONS_C_TAXES,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_C_ONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR
410011203,3564.227228,24779.86549,32957.2211,2626.665742,73843.99916,0,37801.17563,27257.85204,12885.53006,264.7711655,34691.81169,21914.9057,43612.56326,6639.646151,13133.32871,47973.81959,8146.805093,0,0,13628.92602,99119.46196,0,25275.4628,11150.93947,14867.91929,0,7433.959647,27059.61312,0,24432.94737,7830.437495,7433.959647,11200.4992,17048.54746,10,0,7,24,6270,2017
410011204,1629.361019,11894.33544,14372.32198,1635.471122,28249.04666,0,10611.21363,19823.89239,0,224.0371401,15611.31526,15886.26993,21310.68432,2647.711655,5451.570408,48816.33502,6110.10382,0,0,2477.986549,44603.75788,0,16850.30853,5699.369063,9911.946196,0,7433.959647,15016.59849,0,6938.362338,8425.154267,0,5154.212022,17791.94342,5,0,7,24,6270,2017
410011301,3706.796317,28249.04666,57489.28794,2131.068432,108040.2135,0,51406.34014,66905.63683,4955.973098,3177.253986,84747.13998,4073.402546,21806.28163,21792.70362,9911.946196,107941.0941,7332.124584,0,0,78056.5763,123651.5288,1486.791929,121322.2214,25275.4628,21806.28163,0,9911.946196,60710.67045,0,27010.05339,36971.55931,0,19576.09374,61800.98453,17,0,7,24,5148,2017
410011302,896.1485602,14867.91929,26266.65742,4559.49525,45594.9525,0,22444.44803,59471.67718,0,2912.482821,27753.44935,35031.2619,32213.82514,5376.891361,12142.13409,36178.60362,6110.10382,0,0,12389.93275,44603.75788,0,11398.73813,12389.93275,12389.93275,0,9911.946196,14867.91929,0,17345.90584,7731.318033,1486.791929,12389.93275,16899.86826,10,0,7,24,5148,2017
410021101,1222.020764,21062.88567,25275.4628,2477.986549,30578.35402,1189.433544,15356.7276,85986.13325,14372.32198,18106.27432,19080.49643,106723.1467,34691.81169,6843.316278,5947.167718,39548.66532,13034.88815,0,0,86729.52922,75578.58975,0,0,17098.10719,8920.751577,0,5451.570408,13975.84414,0,14174.08306,10903.14082,7433.959647,8028.676419,28546.40505,3,0,7,24,2946.88,2017
410021102,3462.392165,11150.93947,69383.62338,3865.659017,52037.71753,0,63300.67557,158591.1391,1982.389239,23340.59659,31222.63052,3910.466445,52037.71753,7576.528736,5947.167718,49757.96991,20367.01273,0,91651.5573,9911.946196,75330.79109,0,0,11894.33544,2477.986549,0,37665.39555,11844.7757,0,9862.386465,17345.90584,29735.83859,35187.409,33700.61707,4,0,7,24,2946.88,2017
410021103,2036.701273,13133.32871,50055.32829,3469.181169,51492.56049,0,83260.34805,144218.8172,7780.877764,384101.4931,38160.99286,88392.83526,24779.86549,11303.69207,4708.174443,49757.96991,16293.61019,0,30550.5191,19823.89239,136784.8575,0,0,21162.00513,8425.154267,0,7433.959647,10357.98378,0,20666.40782,24432.94737,0,14372.32198,47825.1404,8,0,7,24,2946.88,2017
410021104,10183.50637,2477.986549,128855.3006,5203.771753,25523.26146,0,54176.25387,123899.3275,3221.382514,53605.97751,17841.50315,3910.466445,12389.93275,5906.433692,7681.758302,59521.23691,40734.02546,0,0,84251.54267,61949.66373,2477.986549,0,6938.362338,0,0,59471.67718,8772.072384,0,6740.123414,8871.191846,0,19328.29508,16354.71122,2,0,7,24,2946.88,2017
410021201,0,4113.457672,11398.73813,3023.14359,32362.50433,594.7167718,24644.08541,93667.89156,495.5973098,4928.817081,27257.85204,31772.53986,14867.91929,4684.412928,4460.375788,43265.64515,12220.20764,0,0,0,48320.73771,0,0,7285.280454,0,0,0,5104.652291,0,9317.229425,6888.802607,5947.167718,8425.154267,26762.25473,4,0,7,24,9417.19,2017
410021202,1547.892968,1486.791929,16354.71122,0,31619.10837,0,20896.55506,34691.81169,26762.25473,26904.82382,21806.28163,10590.84662,0,2851.381783,17841.50315,22747.91652,0,0,0,49559.73098,33700.61707,0,0,8672.952922,10903.14082,0,28744.64397,11795.21597,89207.51577,7780.877764,13381.12737,4460.375788,11002.26028,36674.20093,4,0,7,24,9417.19,2017
