return_no,total_collections,total_gross_income,weight
1,9280000000,185268000000,
1b,6000000,1714000000,
1g,70000000,3312000000,
1v,1000000,2881000000,
2,683000000,6826000000,
3,2690000000,53546000000,
5,21000000,213000000,
6,4000000,44000000,
8,1000000000,10085000000,
9,466000000,6175000000,
10,213000000,3467000000,
11,1329000000,13289000000,
13,25000000,246000000,
14,111000000,1739000000,
