id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
366137,176,176,26,0
884956,176,176,26,0
873658,176,176,26,0
879854,176,176,26,0
417329,176,176,26,0
349605,176,176,26,0
218721,176,176,26,0
861888,176,176,26,0
838765,180,180,27,0
596482,180,180,27,0
730780,185,185,28,0
867951,185,185,28,0
331825,185,185,18,0
858916,189,189,28,0
183302,190,190,19,0
224287,190,190,28,0
68878,191,191,29,0
869180,195,97,15,0
165968,195,54,5,0
682188,198,99,15,0
363552,200,200,30,0
590507,200,200,30,0
772988,200,200,30,0
262317,200,200,30,0
867802,200,100,15,0
768437,200,200,30,0
539079,200,200,30,0
372465,200,200,30,0
587415,200,200,30,0
354232,200,200,30,0
420484,200,200,30,0
83871,200,200,30,0
116974,200,200,30,0
844335,200,200,30,0
872619,200,200,30,0
834431,200,200,30,0
43313,200,200,30,0
362517,200,200,30,0
736871,200,200,30,0
91463,200,200,30,0
456586,200,200,30,0
844364,200,200,30,0
525461,200,200,30,0
425073,200,200,30,0
865280,200,200,30,0
831147,201,201,30,0
331856,202,202,20,0
577172,202,202,20,0
475526,203,203,20,0
418012,203,203,20,0
713360,204,204,20,0
883572,204,204,31,0
882308,205,205,20,0
209868,205,205,20,0
874744,206,206,21,0
729396,206,206,31,0
829474,207,207,21,0
870386,207,207,21,0
593208,208,104,16,0
828231,209,209,21,0
534721,209,209,21,0
848837,209,209,31,0
