legal_form,sector,province,tax_base_before_deductions,deductions_from_tax_base,income_tax_base_after_deductions,citax
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,1154461.0,0.0,1154461.0,219347.59
 OSP.16 Joint stock companies ,Manufacturing,Śląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Łódzkie,5756.0,0.0,5756.0,1093.64
 OSP.17 Limited liability companies ,Real Estate,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Construction,Wielkopolskie,923420.0,0.0,923420.0,175449.8
 OSP.17 Limited liability companies ,ICT,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,135847.0,0.0,135847.0,25810.93
 OSP.17 Limited liability companies ,Manufacturing,Małopolskie,7229.0,0.0,7229.0,1373.51
 OSP.17 Limited liability companies ,ICT,Mazowieckie,346904.0,0.0,346904.0,65911.76
 OSP.16 Joint stock companies ,Real Estate,Śląskie,38287.0,0.0,38287.0,7274.53
 OSP.17 Limited liability companies ,Transportation and Storage,Mazowieckie,193823.0,0.0,193823.0,36826.37
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Admin and Support Services,Dolnośląskie,53361.0,0.0,53361.0,10138.59
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,34879.0,0.0,34879.0,6627.01
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Warmińsko-Mazurskie,38449.0,0.0,38449.0,7305.31
 OSP.17 Limited liability companies ,Professional/Scientific,Mazowieckie,415534.0,0.0,415534.0,78951.46
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Łódzkie,406257.0,0.0,406257.0,77188.83
 OSP.17 Limited liability companies ,Manufacturing,Dolnośląskie,120150.0,0.0,120150.0,22828.5
 OSP.17 Limited liability companies ,Admin and Support Services,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Śląskie,281111.0,0.0,281111.0,53411.090000000004
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,122379.0,0.0,122379.0,23252.010000000002
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Dolnośląskie,150566.0,0.0,150566.0,28607.54
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,534268.0,0.0,534268.0,101510.92
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Małopolskie,73743.0,0.0,73743.0,14011.17
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Małopolskie,368541.0,0.0,368541.0,70022.79
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Real Estate,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Professional/Scientific,Dolnośląskie,310266.0,0.0,310266.0,58950.54
 OSP.17 Limited liability companies ,Not determined,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,121316.0,0.0,121316.0,23050.04
 OSP.17 Limited liability companies ,Hotels and Restaurants,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Małopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Małopolskie,118505.0,0.0,118505.0,22515.95
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Warmińsko-Mazurskie,1325338.0,0.0,1325338.0,251814.22
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,772439.0,0.0,772439.0,146763.41
 OSP.49 Funds ,Finance,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Dolnośląskie,3824541.0,0.0,3824541.0,726662.79
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,202840.0,0.0,202840.0,38539.6
 OSP.55 of the Association ,Other Service Activities,Łódzkie,45850.0,0.0,45850.0,8711.5
 OSP.17 Limited liability companies ,Health,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Śląskie,62364.0,0.0,62364.0,11849.16
 OSP.17 Limited liability companies ,Other Service Activities,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,210355.0,0.0,210355.0,39967.45
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,1413167.0,0.0,1413167.0,268501.73
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,400826.0,0.0,400826.0,76156.94
 OSP.16 Joint stock companies ,Manufacturing,Dolnośląskie,921736.0,0.0,921736.0,175129.84
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Real Estate,Mazowieckie,4189085.0,0.0,4189085.0,795926.15
 OSP.16 Joint stock companies ,Manufacturing,Wielkopolskie,340782.0,0.0,340782.0,64748.58
 OSP.40 Cooperatives ,Manufacturing,Śląskie,519598.0,0.0,519598.0,98723.62
 OSP.16 Joint stock companies ,Wholesale/Retail Trade,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Małopolskie,1275222.0,0.0,1275222.0,242292.18
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Śląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Utilities,Warmińsko-Mazurskie,1385452.0,0.0,1385452.0,263235.88
 OSP.17 Limited liability companies ,ICT,Dolnośląskie,640159.0,0.0,640159.0,121630.21
 OSP.31 Voivodship self-government organizational units ,Entertainment,Kujawsko-Pomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Professional/Scientific,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Mazowieckie,55784.0,0.0,55784.0,10598.960000000001
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,1246347.0,0.0,1246347.0,236805.93
 OSP.17 Limited liability companies ,Manufacturing,Śląskie,264394.0,50176.0,214218.0,40701.42
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,136595.0,0.0,136595.0,25953.05
 OSP.17 Limited liability companies ,Not determined,Kujawsko-Pomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,ICT,Mazowieckie,559712.0,0.0,559712.0,106345.28
 OSP.17 Limited liability companies ,Real Estate,Kujawsko-Pomorskie,1181229.0,0.0,1181229.0,224433.51
 OSP.17 Limited liability companies ,Utilities,Dolnośląskie,899022.0,0.0,899022.0,170814.18
 OSP.17 Limited liability companies ,Utilities,Małopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Construction,Wielkopolskie,112878.0,0.0,112878.0,21446.82
 OSP.17 Limited liability companies ,Professional/Scientific,Wielkopolskie,1772350.0,0.0,1772350.0,336746.5
 OSP.17 Limited liability companies ,Construction,Wielkopolskie,434240.0,0.0,434240.0,82505.6
 OSP.57 Physical culture associations ,Entertainment,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Śląskie,1707979.0,0.0,1707979.0,324516.01
 OSP.17 Limited liability companies ,Utilities,Mazowieckie,452957.0,0.0,452957.0,86061.83
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Warmińsko-Mazurskie,27094.0,0.0,27094.0,5147.86
 OSP.16 Joint stock companies ,Wholesale/Retail Trade,Mazowieckie,48883.0,0.0,48883.0,9287.77
 OSP.40 Cooperatives ,Real Estate,Wielkopolskie,206125.0,0.0,206125.0,39163.75
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,73643.0,0.0,73643.0,13992.17
 OSP.17 Limited liability companies ,Admin and Support Services,Małopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Małopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,313580.0,0.0,313580.0,59580.2
 OSP.17 Limited liability companies ,Health,Małopolskie,1344848.0,0.0,1344848.0,255521.12
 OSP.17 Limited liability companies ,Education,Mazowieckie,201332.0,0.0,201332.0,38253.08
 OSP.17 Limited liability companies ,Not determined,Kujawsko-Pomorskie,0.0,0.0,0.0,0.0
 OSP.16 Joint stock companies ,Wholesale/Retail Trade,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Opolskie,95556.0,0.0,95556.0,18155.64
 OSP.17 Limited liability companies ,Construction,Opolskie,12351.0,0.0,12351.0,2346.69
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Śląskie,390635.0,0.0,390635.0,74220.65
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Małopolskie,66681.0,0.0,66681.0,12669.39
 OSP.17 Limited liability companies ,Construction,Kujawsko-Pomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Opolskie,235212.0,0.0,235212.0,44690.28
 OSP.17 Limited liability companies ,Real Estate,Opolskie,183438.0,0.0,183438.0,34853.22
 OSP.17 Limited liability companies ,Professional/Scientific,Kujawsko-Pomorskie,189333.0,0.0,189333.0,35973.27
 OSP.17 Limited liability companies ,Construction,Kujawsko-Pomorskie,32416.0,0.0,32416.0,6159.04
 OSP.17 Limited liability companies ,Not determined,Kujawsko-Pomorskie,208476.0,0.0,208476.0,39610.44
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Construction,Łódzkie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Podkarpackie,77691.0,0.0,77691.0,14761.29
 OSP.70 Political parties ,Other Service Activities,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Małopolskie,213158.0,0.0,213158.0,40500.020000000004
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Construction,Kujawsko-Pomorskie,230755.0,0.0,230755.0,43843.45
 OSP.40 Cooperatives ,Not determined,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.16 Joint stock companies ,Real Estate,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Małopolskie,1325864.0,0.0,1325864.0,251914.16
 OSP.16 Joint stock companies ,Utilities,Mazowieckie,792824.0,0.0,792824.0,150636.56
 OSP.17 Limited liability companies ,Manufacturing,Łódzkie,0.0,0.0,0.0,0.0
 OSP.49 Funds ,Not determined,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Construction,Wielkopolskie,1223509.0,0.0,1223509.0,232466.71
 OSP.17 Limited liability companies ,Not determined,Kujawsko-Pomorskie,1911882.0,0.0,1911882.0,363257.58
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Warmińsko-Mazurskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Utilities,Wielkopolskie,187256.0,0.0,187256.0,35578.64
 OSP.40 Cooperatives ,Finance,Łódzkie,1856721.0,0.0,1856721.0,352776.99
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Health,Podkarpackie,2298821.0,0.0,2298821.0,436775.99
 OSP.17 Limited liability companies ,Hotels and Restaurants,Mazowieckie,405297.0,0.0,405297.0,77006.43000000001
 OSP.17 Limited liability companies ,ICT,Podkarpackie,3473479.0,0.0,3473479.0,659961.01
 OSP.17 Limited liability companies ,Not determined,Śląskie,738081.0,0.0,738081.0,140235.39
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Transportation and Storage,Mazowieckie,344707.0,0.0,344707.0,65494.33
 OSP.17 Limited liability companies ,Utilities,Śląskie,1747679.0,0.0,1747679.0,332059.01
 OSP.17 Limited liability companies ,ICT,Podkarpackie,330492.0,0.0,330492.0,62793.48
 OSP.17 Limited liability companies ,Transportation and Storage,Małopolskie,739079.0,0.0,739079.0,140425.01
 OSP.17 Limited liability companies ,Agriculture,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.55 of the Association ,Other Service Activities,Dolnośląskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Real Estate,Łódzkie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Health,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.49 Funds ,Finance,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Transportation and Storage,Mazowieckie,1675982.0,0.0,1675982.0,318436.58
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,87600.0,0.0,87600.0,16644.0
 OSP.17 Limited liability companies ,Manufacturing,Podkarpackie,1339264.0,0.0,1339264.0,254460.16
 OSP.40 Cooperatives ,Wholesale/Retail Trade,Kujawsko-Pomorskie,765130.0,0.0,765130.0,145374.7
 OSP.17 Limited liability companies ,Manufacturing,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Hotels and Restaurants,Zachodniopomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Zachodniopomorskie,513092.0,0.0,513092.0,97487.48
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podkarpackie,1201490.0,0.0,1201490.0,228283.1
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Podkarpackie,1052637.0,0.0,1052637.0,200001.03
 OSP.17 Limited liability companies ,Construction,Śląskie,175480.0,0.0,175480.0,33341.2
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,781477.0,0.0,781477.0,148480.63
 OSP.17 Limited liability companies ,Transportation and Storage,Podkarpackie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Wholesale/Retail Trade,Kujawsko-Pomorskie,11348.0,0.0,11348.0,2156.12
 OSP.17 Limited liability companies ,Manufacturing,Wielkopolskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Mazowieckie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Admin and Support Services,Zachodniopomorskie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Manufacturing,Łódzkie,0.0,0.0,0.0,0.0
 OSP.17 Limited liability companies ,Not determined,Mazowieckie,237561.0,0.0,237561.0,45136.590000000004
 OSP.17 Limited liability companies ,Manufacturing,Mazowieckie,401132.0,0.0,401132.0,76215.08
 OSP.17 Limited liability companies ,Not determined,Śląskie,0.0,0.0,0.0,0.0
 OSP.48 Foundations ,Education,Zachodniopomorskie,4189.0,0.0,4189.0,795.91
 OSP.40 Cooperatives ,Not determined,Dolnośląskie,0.0,0.0,0.0,0.0
