id_n,Salaries
423634,13777
471686,12600
21548,11222
322588,1112
175620,679
285658,11815
640119,4080
232717,3473
831981,6371
466640,11222
850004,6175
871729,2027
310744,530
278986,4133
66846,50
476284,10081
621349,804
236754,2704
854959,6497
688315,7870
716276,11380
327072,13332
863608,1572
677849,4706
378191,11353
525099,1889
323718,7059
228316,1645
570060,2334
552195,10400
280630,596
213308,12299
871295,2222
864933,1006
545333,2353
843483,812
76397,583
805175,13854
42441,13795
871830,1098
839551,8235
810862,9066
838251,13005
366137,176
676343,5083
615371,14589
40393,525
832580,176
856187,3600
162389,150
582737,1796
855944,1166
847046,8833
871012,1200
683747,5556
680870,7250
809954,3817
880663,2000
590430,1111
772056,530
474492,576
126724,10998
8012,3058
635668,210
477023,428
756763,11111
44866,6711
236550,681
676553,9536
565643,11807
514415,6051
870386,207
832544,6657
76074,1708
814439,14315
854256,706
136436,1084
322682,530
325466,140
250593,11742
105501,11326
508250,7356
771924,11287
856242,2176
884262,2353
414224,4444
864215,811
853229,2408
865383,210
221567,1111
617875,11302
841712,289
694383,2312
882738,12755
850400,10543
313963,2353
408801,4360
846566,218
48942,556
856183,2193
836236,13860
696782,11150
882720,250
880498,3000
646998,80
541374,5035
411797,10305
96763,1675
578665,678
856233,2222
235847,3742
844709,3580
827120,13197
826200,1898
310308,1363
218576,9109
309241,2887
41392,11100
831358,1759
543915,125
869791,5404
878319,1583
273029,460
273985,477
559560,10991
871590,896
741838,9459
294449,14157
287527,9575
865328,3032
459336,5245
858619,10584
828105,1781
458283,1233
834605,2222
322359,10240
439552,13955
877186,4405
600401,10223
477823,2353
877166,3830
131088,225
648214,14118
848753,3000
845847,15400
410011,2334
724697,14926
330424,7635
450705,11111
739216,930
882137,588
472432,11174
874141,2353
836951,12325
768958,3377
735350,2283
843688,3132
370794,8160
773767,1059
369821,14391
651136,11000
726315,558
837920,3333
769101,4444
618316,8778
849134,588
378471,9230
824348,3169
845504,3455
582689,420
464848,4062
30097,218
522455,15187
598673,477
278757,4444
779836,438
855897,2082
159832,2564
48513,2353
504246,725
237394,9484
635728,6667
271186,7766
724441,4018
868457,60
358680,3714
251603,5000
574479,13849
108698,5219
676371,9612
372227,2353
826346,1111
471650,570
332874,3143
514328,7381
470123,1648
275676,5596
426358,7916
714715,11176
770142,3029
598981,520
688043,3000
866389,2043
832181,584
553587,5351
51636,4500
166575,2500
850025,4818
226034,1823
838092,10000
513362,10401
426467,240
307894,8456
411900,24
845704,309
768172,2012
789199,14444
854898,8970
44851,1506
843265,100
868594,14444
228416,1135
829616,2689
867163,2000
837622,2017
727906,6049
410214,3800
769542,8206
682058,3785
669625,2353
635376,4702
166571,11719
85459,2118
37305,1229
870431,8978
361240,1567
590229,4186
537814,7200
367728,250
563877,13339
866567,3307
846950,0
883473,503
1473,706
585946,10889
837859,122
366798,223
457642,11954
157220,14250
830221,2000
534521,4861
365517,2703
455128,12800
228270,5822
180131,250
692853,3143
825648,1563
534721,209
846214,4626
184540,15132
113381,500
226095,11765
530702,13028
311739,6870
637172,1686
881924,2696
79320,7980
824984,2594
779412,3287
569074,13901
189801,1318
881600,428
477960,2222
684081,634
650113,634
331472,530
853616,3193
556463,9412
379697,527
826667,855
836235,778
358377,4650
40570,3979
823391,6667
302175,1610
834561,14760
117267,7604
776165,3891
520394,1500
291689,6667
623850,10800
476328,13043
871169,10459
860064,2327
864152,3043
80831,10000
233608,6118
681611,11765
655959,14206
840684,10714
621577,1293
880682,221
44358,9200
527659,12172
824094,1611
83685,3333
843050,7128
51853,10792
840150,11166
565431,5045
459662,9086
805314,11223
833406,4504
854374,12827
861945,1134
47025,3999
847249,3529
828978,8206
185398,14924
843374,2520
420565,8471
36730,9433
809653,3000
128282,632
77638,10388
647980,9116
455023,583
772636,5882
842990,2014
873029,4740
488162,5248
358869,7659
851828,588
680554,7059
865455,910
857413,2013
19304,4550
869044,11376
857383,865
361732,6240
673164,4444
876260,3529
360125,3000
360437,8145
602001,1613
882452,3000
340232,1942
426706,4
747956,12625
598896,1276
233708,2570
603914,6597
488055,3027
862720,5840
696463,4394
849714,8058
577135,2408
474560,11966
83903,6112
882557,13897
881932,5294
269741,3000
554814,14597
141337,4946
156984,14130
879618,8933
848758,1111
128874,10056
856551,1451
773027,1790
861888,176
871495,7581
676854,440
869222,9918
852058,2778
653061,2202
840924,2353
837336,5556
849752,1000
882497,4480
596564,9300
22453,2008
637310,556
68271,6859
37534,13187
32050,11000
332995,8167
822692,11112
842136,4118
564462,7881
623752,1620
641464,5565
424942,12853
28831,8680
729396,206
872765,2012
371713,6680
28844,11222
445213,1060
854005,8800
111581,13636
852084,2960
849475,1047
768501,851
851616,2222
826551,12433
632577,1074
781743,3273
618365,2794
684984,9647
285661,13371
777531,602
83895,8369
99789,2422
604369,6163
866896,2942
104356,14112
136743,11000
111968,1762
413538,3333
882563,1808
552192,7414
99972,3399
679520,5015
590492,2304
466318,4735
618460,1667
838811,134
773687,10789
375068,4111
422038,7317
773867,4706
299912,6157
683760,9909
852349,12120
231963,4706
590272,8057
855388,4822
861016,2752
573857,5591
476933,13110
512654,857
38526,6363
214758,2353
701331,1566
312410,1579
466345,10900
725914,1334
616788,210
843650,1300
831361,1176
40057,2000
257610,13979
471976,1011
828116,5556
328762,4706
776646,12990
93042,1160
166749,2222
834201,15050
423145,2376
328097,10465
859668,2689
556304,140
375162,298
855424,10764
367856,7670
847058,2927
743222,6829
82226,7616
91618,300
383165,14435
268447,2263
778903,8101
421755,4081
633128,13670
422534,1754
830373,588
694491,4732
366016,9680
225897,16
778196,10686
372348,2353
861947,300
175524,6667
834609,1650
881302,3033
836655,363
829884,4452
505746,7730
852605,1896
845215,3529
85524,1200
213227,9790
269707,3529
845253,13117
773937,1260
849133,218
641430,2100
696608,2500
736376,7201
283355,8209
643287,8126
280380,10004
591871,2353
235842,1911
567588,7642
132629,10240
523499,2005
328811,3333
629912,6667
573063,1553
870691,2057
838101,652
506596,13370
847939,4906
729163,476
488106,2353
871223,1176
643009,2750
880645,150
825319,4718
571538,2096
456648,4000
571642,2353
652952,79
600820,3922
822542,12679
841087,4511
68007,540
870325,8734
253023,10498
864116,2289
426485,2970
478717,12297
398258,10678
683736,7723
98496,7372
48676,8278
779238,13369
866252,588
228871,3333
878742,6160
684075,3590
861490,9170
837166,6817
41064,9076
774789,1260
83878,212
883682,372
268217,13456
178425,36
855591,8678
653134,13278
736242,13089
634446,4107
691232,1076
3688,5652
424763,7830
834669,576
694162,11276
610974,13525
770644,6762
584299,424
679151,4507
261312,2246
847440,2222
626628,2327
685202,906
80975,7320
677956,12859
366020,5151
570219,4444
428081,3334
262161,10668
175577,2100
555214,424
849927,1765
536100,7800
749459,14798
174051,500
871879,6445
885043,9270
736405,3529
881694,10708
132871,4471
166906,12894
692774,220
830690,4444
834057,4320
678055,5880
428677,7454
363170,7128
874209,588
768761,4860
843594,608
447118,11304
490903,588
51701,840
877240,8548
824818,764
266406,3303
778943,1176
534467,634
211004,11560
842253,1906
769665,2103
41027,11072
840456,2176
506369,4445
520640,11156
844804,10870
680900,888
51672,4160
836838,1778
82268,5000
410618,7302
717641,1920
860976,2405
836774,2174
870385,8790
582685,1595
826748,13431
408152,781
839579,15000
859891,4041
476970,3195
182735,340
539643,4620
600292,525
604935,2444
616815,12897
317896,882
367613,15206
463162,10778
692787,9240
872792,7040
280328,14235
39328,8733
777537,8972
847932,1921
846900,4978
318230,8711
868946,6351
872877,1333
870401,1426
117062,3482
842002,6701
872428,7059
71149,3000
841980,1263
455264,4251
860154,8900
672145,14538
717224,11111
313679,247
865733,4989
179246,3367
458330,3598
632007,5812
349164,318
382400,11221
855535,15000
38264,2454
221548,3529
275683,9804
68078,659
836575,13490
825206,5339
195514,3058
847375,6039
191040,2358
669683,7728
543803,10981
831066,3529
853681,218
83923,1277
504975,678
43105,640
45565,15246
830702,6000
521885,8556
671807,2916
159632,797
830962,13529
411717,350
835356,4522
136648,1253
867108,2884
414415,11657
854321,5318
858494,8906
520455,8130
51891,5700
244457,9512
135215,5389
767865,1728
839040,1680
40276,15291
786318,11304
838370,1000
692998,686
369143,3294
427905,56
146251,8144
848142,15000
876375,10982
834821,14444
315427,2595
372099,7520
648313,1250
265264,5200
842478,1047
869071,4626
83706,7889
724640,1720
832359,428
571644,10148
599467,10678
455068,5556
859228,1110
456083,2355
851279,812
864974,1568
769936,16
230575,5216
275503,15542
44799,112
869043,2222
477643,164
156361,13565
882032,588
504187,15008
642679,769
117039,8671
536131,11884
556583,3333
584389,2353
861615,13500
849081,3603
253901,12
865213,6667
325518,15364
831872,2015
595059,5334
879283,1019
876403,2914
539400,1800
769511,477
328321,5206
727394,9466
174582,583
599167,9482
565396,2778
862797,500
571711,2040
834740,1518
860342,6081
456863,10678
850969,10633
243993,10111
846976,2693
880449,1460
518840,7000
491922,9765
844779,3556
733591,8445
854844,6135
504953,631
556255,3016
839254,13940
621386,10040
312320,1976
878610,3192
375464,1463
863904,1708
858104,1047
730783,3333
552299,5512
504739,3712
831637,673
173958,956
294699,885
178404,14910
224287,190
77670,3334
534677,371
407317,3696
262872,10626
849923,10626
363252,14924
509668,668
486448,8667
824518,5451
880011,2383
673333,1542
40215,1778
92331,8372
820442,139
832995,3270
135237,13264
820271,11453
536346,1111
503333,12616
850510,1715
834427,15439
277599,3529
367704,2353
68061,5743
227525,12915
852881,2075
410179,2222
856561,6500
838346,6098
515992,10402
835972,6101
656110,250
237350,2098
683510,4990
866057,4520
316636,660
330139,15300
646853,5556
615271,10051
410334,2096
851347,700
274015,2353
851193,3436
189149,9449
721630,10660
563939,12054
880432,13334
876251,11111
779694,8125
411602,6650
47053,3143
849043,3000
456904,3088
312046,3836
459500,11111
422109,36
93954,60
134913,5328
808626,8589
513100,1110
869051,7500
762586,6666
835240,2408
835444,1966
870458,13484
877207,4275
584382,1628
842663,3016
723153,10497
771992,5882
536263,1680
505436,2728
773575,10732
217956,1111
271492,210
866761,10776
231318,2100
171741,7826
596673,1300
229969,100
568712,9684
623740,7270
862312,2421
856804,2425
863756,12227
821795,8800
741220,9382
861288,3621
125356,1549
855896,14570
683964,4119
673694,1111
625254,7840
345804,4964
850898,6000
390403,10900
313397,14984
458068,1648
467730,1633
829071,9438
637100,10196
582898,3000
858377,1111
881586,15310
827267,816
232032,2082
858097,660
16616,6681
807156,2878
571424,3913
672138,2353
221373,8050
839761,14498
44491,3982
514877,820
379854,10454
871679,2064
874714,3371
600681,13619
235720,1176
542451,4706
712499,1098
197466,14088
472855,8648
147249,1366
662831,11111
773084,12953
827335,6523
848992,1200
345434,11209
797306,11222
687131,5455
730775,582
858450,8889
568461,11573
523652,3773
195761,5353
117013,3525
44342,100
719749,9
849213,6386
693313,6522
767551,230
363935,9417
174000,7220
271488,490
768600,1250
380437,764
862814,2631
567200,5067
391148,15066
831581,3529
373635,10434
418186,1047
824143,9308
123310,11506
726330,2187
503885,9186
830333,3000
849703,1409
823626,309
862476,3529
680831,13146
838625,374
825582,6447
576936,546
508573,492
104066,12741
165059,3422
278749,5833
629796,60
363097,5353
413410,8794
866960,7917
646123,8556
369409,424
457532,504
850365,3654
873815,13244
254088,5070
613675,7467
555117,384
880877,14778
852779,11432
832272,2044
214788,11806
376952,4653
843167,560
830123,490
739661,11033
99774,4885
361899,636
688159,583
879281,1556
727309,7047
628370,1067
837007,2353
358568,1076
883113,13620
676322,9893
885285,4143
849887,2408
644624,2002
418771,1835
685184,5219
199799,8937
645446,6361
770528,7778
135338,6297
44382,5556
774744,1648
810551,1450
232896,2204
557793,2370
600310,10090
601795,5206
850801,10790
414161,11207
68935,428
831621,3000
844727,13471
858433,218
12518,10889
552042,1407
618263,220
881258,2353
322665,7222
285735,5000
381555,12277
832605,4333
865810,1030
233666,1275
524448,100
598760,3000
879849,10510
504932,6954
269833,6584
870658,2408
853953,7059
275648,1648
870981,3552
425178,2752
545412,4643
177099,2353
116903,12936
862379,6794
359985,546
408403,7149
822635,14316
425650,11684
824581,3128
780721,1667
488119,11111
866867,2222
780601,10920
233487,318
630855,6270
372165,525
535947,2792
737936,52
410099,13630
456586,200
737923,1059
644517,9269
165972,706
425094,7778
878395,2000
379018,8640
733688,634
420231,3025
319955,11176
415054,6175
428203,6726
427877,6909
837599,1200
358376,5180
459951,3468
268518,9119
867384,13224
858018,4706
68253,10753
310613,538
729645,11500
260250,8705
335559,8607
773013,10767
177835,6599
845330,6667
543710,4818
372347,1848
578311,2973
66180,7795
598780,2353
666925,11753
779383,459
871898,2353
585984,2860
571767,6495
221304,6714
132163,6991
830405,14104
802836,14184
423403,795
262835,6682
214821,15000
603557,100
816782,12375
536025,2353
843832,5000
423488,32
540918,2297
621283,4706
635363,634
360994,2408
315456,2007
838938,2047
136716,395
81178,1667
643066,3334
455390,3350
838007,5780
761061,11222
834123,14098
772592,424
610755,13231
738116,7924
854933,3804
684046,3731
617965,3333
881574,11765
825748,5803
877295,6000
733766,13702
769670,1111
189428,9413
88320,7214
45461,13654
849551,1047
862672,4976
767686,3529
567121,2941
553740,1031
278703,1934
733504,12177
413666,1230
867359,2581
880511,10582
871804,4353
871199,4868
847578,9762
518972,12752
177723,5776
730770,5732
265190,3787
331468,1618
870505,13800
310512,3143
551474,3522
616833,460
266877,3333
878601,12658
387078,10176
832361,6620
280308,7985
252743,818
582278,13333
863738,5880
174675,2820
266793,424
880542,2408
79078,13208
319432,2353
418540,14085
91649,6577
689777,2030
881325,8000
233653,7059
414996,10317
575394,10022
725701,13888
159368,1572
680905,3529
557983,4545
603501,168
284672,7484
240555,4978
845955,5721
856198,5277
857976,1047
582945,6766
724967,7404
401754,11222
873014,5202
456937,12650
556867,13332
181206,972
360468,4325
120821,13967
669310,15217
506635,6403
810011,10680
184436,4787
164043,11055
322502,4444
502566,7980
860328,9333
663444,820
842218,2079
214789,12
639999,1447
852606,2222
416795,10889
348643,3117
640110,3529
736607,7799
322732,4000
83994,115
408465,1278
844235,6717
583678,8091
867727,4444
216253,133
99893,583
40210,7059
843089,2700
877122,556
623479,525
836829,3540
741035,3529
231459,977
275471,6469
375290,14795
779382,7454
61948,7973
80870,7728
617334,3935
367861,6000
353665,1158
701756,11222
882324,3000
855176,9180
867356,2408
205194,6056
486598,3021
42297,11237
813814,556
741278,9231
422721,2353
827591,954
85032,9203
741851,1083
863812,1289
808167,3333
43369,1161
275804,13225
476056,10458
